fips,name,state,lat,lon,population
01001,01001,,32.5322367,-86.6464395,58239
01003,01003,,30.6592183,-87.7460666,227131
01005,01005,,31.8702531,-85.4051035,25259
01007,01007,,33.0158929,-87.1271475,22412
01009,01009,,33.9773575,-86.56644,58884
01011,01011,,32.1017589,-85.7172613,10386
01013,01013,,31.751667,-86.6819689,19181
01015,01015,,33.7705162,-85.8279089,116425
01017,01017,,32.9155039,-85.3940321,34834
01019,01019,,34.0695153,-85.6542417,24975
01021,01021,,32.8540514,-86.7266071,44857
01023,01023,,31.9909539,-88.2488894,12792
01025,01025,,31.6855211,-87.8186244,23346
01027,01027,,33.2703999,-85.8635254,14184
01029,01029,,33.6719637,-85.5161261,15046
01031,01031,,31.402258,-85.9896022,53043
01033,01033,,34.703112,-87.8014569,56789
01035,01035,,31.4309257,-86.9887221,11778
01037,01037,,32.9314453,-86.2434818,10442
01039,01039,,31.2439873,-86.4487206,37490
01041,01041,,31.7303106,-86.3200384,13300
01043,01043,,34.1319229,-86.8692666,87129
01045,01045,,31.4306536,-85.609476,49443
01047,01047,,32.3335263,-87.11436,39162
01049,01049,,34.4609148,-85.8040207,71554
01051,01051,,32.597229,-86.1427347,87146
01053,01053,,31.1222867,-87.1684097,36879
01055,01055,,34.0476407,-86.0342629,103468
01057,01057,,33.7161568,-87.7642923,16365
01059,01059,,34.4419892,-87.8428144,32034
01061,01061,,31.0923822,-85.8210224,26604
01063,01063,,32.8444965,-87.9642005,7851
01065,01065,,32.7527958,-87.6230608,14819
01067,01067,,31.5169779,-85.2399712,17165
01069,01069,,31.1581831,-85.2964111,106355
01071,01071,,34.764114,-85.9800556,52548
01073,01073,,33.5534439,-86.8965359,672550
01075,01075,,33.7870852,-88.0874309,13929
01077,01077,,34.9041221,-87.6509966,93342
01079,01079,,34.529776,-87.3218651,33089
01081,01081,,32.6040644,-85.3530477,172223
01083,01083,,34.8102387,-86.9813995,101217
01085,01085,,32.147888,-86.6505859,10334
01087,01087,,32.3870267,-85.692887,19490
01089,01089,,34.7642377,-86.5510802,382149
01091,01091,,32.2475911,-87.791091,19397
01093,01093,,34.1382194,-87.881551,29392
01095,01095,,34.3095637,-86.3216681,97179
01097,01097,,30.6845725,-88.1965682,414620
01099,01099,,31.5803324,-87.3832656,20115
01101,01101,,32.2028812,-86.2044615,229072
01103,01103,,34.4544844,-86.8464021,122608
01105,01105,,32.6390053,-87.2938269,8702
01107,01107,,33.2968003,-88.0968644,19240
01109,01109,,31.7986533,-85.9416076,33176
01111,01111,,33.2964614,-85.4640637,21984
01113,01113,,32.2898113,-85.1869798,58695
01115,01115,,33.7194907,-86.3113273,90412
01117,01117,,33.2630428,-86.6780894,220780
01119,01119,,32.5974811,-88.2000571,12482
01121,01121,,33.3693135,-86.1759302,81850
01123,01123,,32.8633076,-85.7996176,41284
01125,01125,,33.2902197,-87.5227834,223945
01127,01127,,33.7915581,-87.3010936,65194
01129,01129,,31.4085035,-88.2124041,15574
01131,01131,,31.9900824,-87.3049349,10686
01133,01133,,34.1545665,-87.3653458,23650
02016,02016,,51.9594469,178.338813,5251
02020,02020,,61.1742503,-149.2843294,292545
02050,02050,,60.9291413,-160.1526246,18514
02060,02060,,58.741661,-156.9668053,849
02068,02068,,63.6820386,-150.0270164,2187
02070,02070,,59.5433255,-158.2671226,4899
02090,02090,,64.6760436,-146.5481586,97149
02100,02100,,59.0984037,-135.5757906,2098
02105,02105,,58.403336,-135.884909,2327
02110,02110,,58.3729099,-134.1784454,32240
02122,02122,,60.360766,-152.0526403,58711
02130,02130,,55.4499378,-131.1066847,13939
02150,02150,,57.7044003,-153.9183721,13218
02164,02164,,58.1085067,-156.4134134,986
02170,02170,,62.2656263,-149.5039935,106807
02180,02180,,64.7836858,-164.1889119,10070
02185,02185,,69.4493427,-153.4728302,10865
02188,02188,,67.0050655,-160.0210864,7776
02195,02195,,57.1124581,-133.0085979,3368
02198,02198,,55.6827733,-133.1623885,5886
02220,02220,,57.1932044,-135.3673965,8518
